TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Aug 18, 2026 1:42:17 AM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-18T07:42:17.032518Z   177 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 1:42:17 AM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-18T07:42:17.587975Z   178 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 1:42:16 AM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-18T07:42:16.349118Z   176 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 12:24:20 AM",corp-na01-bp123na,root,77.90.185.30,LogonSuccess,2026-08-18T06:24:19.995382Z   168 Connect root@77.90.185.30 on  using SSL/TLS
"Aug 18, 2026 12:24:19 AM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-18T06:24:19.441934Z   167 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 12:24:18 AM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-18T06:24:18.893234Z   166 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 12:24:18 AM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-18T06:24:18.208857Z   165 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 18, 2026 12:09:01 AM",corp-na01-bp123na,root,64.89.163.148,LogonFailure,2026-08-18T06:09:01.602350Z   163 Connect Access denied for user 'root'@'64.89.163.148' (using password: NO)
"Aug 17, 2026 11:32:52 PM",corp-na01-bp123na,root,8.138.154.105,LogonFailure,2026-08-18T05:32:52.680683Z   161 Connect Access denied for user 'root'@'8.138.154.105' (using password: NO)
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,root,64.89.163.97,LogonSuccess,2026-08-18T05:23:10.896406Z   158 Connect root@64.89.163.97 on  using TCP/IP
"Aug 17, 2026 11:23:09 PM",corp-na01-bp123na,root,64.89.163.97,LogonSuccess,2026-08-18T05:23:09.593774Z   156 Connect root@64.89.163.97 on recover_your_data using SSL/TLS
"Aug 17, 2026 11:23:04 PM",corp-na01-bp123na,root,64.89.163.97,LogonFailure,2026-08-18T05:23:04.433636Z   148 Connect Access denied for user 'root'@'64.89.163.97' (using password: NO)
"Aug 17, 2026 11:22:59 PM",corp-na01-bp123na,root,64.89.163.97,LogonFailure,2026-08-18T05:22:59.001931Z   146 Connect Access denied for user 'root'@'64.89.163.97' (using password: NO)
"Aug 17, 2026 11:06:20 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-18T05:06:19.953732Z   144 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 11:06:19 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-18T05:06:19.395248Z   143 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 11:06:18 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-18T05:06:18.709180Z   142 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 9:48:05 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-18T03:48:05.750429Z   135 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 9:48:05 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-18T03:48:05.194266Z   134 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 9:48:04 PM",corp-na01-bp123na,root,77.90.185.30,LogonFailure,2026-08-18T03:48:04.537451Z   133 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 9:33:21 PM",corp-na01-bp123na,sa,77.90.185.21,LogonFailure,2026-08-18T03:33:21.267916Z   130 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 9:33:20 PM",corp-na01-bp123na,admin,77.90.185.21,LogonFailure,2026-08-18T03:33:20.709214Z   129 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 9:33:20 PM",corp-na01-bp123na,root,77.90.185.21,LogonFailure,2026-08-18T03:33:20.047497Z   128 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
"Aug 17, 2026 8:30:05 PM",corp-na01-bp123na,sa,77.90.185.30,LogonFailure,2026-08-18T02:30:05.451240Z   124 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Aug 17, 2026 8:30:04 PM",corp-na01-bp123na,admin,77.90.185.30,LogonFailure,2026-08-18T02:30:04.883741Z   123 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
