TimeGenerated,DeviceName,ActionType,Query,RawData
"Aug 18, 2026 1:42:18 AM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T07:42:18.276066Z   179 Query SELECT @@max_allowed_packet
"Aug 18, 2026 12:24:20 AM",corp-na01-bp123na,Query, SELECT @@max_allowed_packet,2026-08-18T06:24:20.106309Z   168 Query SELECT @@max_allowed_packet
"Aug 17, 2026 11:23:11 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:11.448514Z   159 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:11 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:10.987418Z   158 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:11 PM",corp-na01-bp123na,Query, CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA,2026-08-18T05:23:11.539790Z   159 Query CREATE DATABASE IF NOT EXISTS RECOVER_YOUR_DATA
"Aug 17, 2026 11:23:11 PM",corp-na01-bp123na,Query, DROP DATABASE `recover_your_data`,2026-08-18T05:23:11.080837Z   158 Query DROP DATABASE `recover_your_data`
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,Query," INSERT INTO RECOVER_YOUR_DATA (text) VALUES ('All your data was backed up by us. You must pay 0.0132 bitcoin to bc1q7jps5432akuflg9flw2vu6hgmmj5hrrdu6c5gm or in 48 hours, your data will be publicly disclosed and deleted. ')","2026-08-18T05:23:10.255544Z   154 Query INSERT INTO RECOVER_YOUR_DATA (text) VALUES ('All your data was backed up by us. You must pay 0.0132 bitcoin to bc1q7jps5432akuflg9flw2vu6hgmmj5hrrdu6c5gm or in 48 hours, your data will be publicly disclosed and deleted. ')"
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,Query, DROP TABLE `recover_your_data`,2026-08-18T05:23:10.071530Z   154 Query DROP TABLE `recover_your_data`
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,Query," SELECT TABLE_NAME, COLUMN_NAME, CONSTRAINT_NAME, REFERENCED_TABLE_NAME, REFERENCED_COLUMN_NAME FROM information_schema.KEY_COLUMN_USAGE WHERE TABLE_SCHEMA = 'recover_your_data' AND TABLE_NAME = 'recover_your_data' AND REFERENCED_TABLE_NAME IS NOT NULL","2026-08-18T05:23:09.980243Z   154 Query SELECT TABLE_NAME, COLUMN_NAME, CONSTRAINT_NAME, REFERENCED_TABLE_NAME, REFERENCED_COLUMN_NAME FROM information_schema.KEY_COLUMN_USAGE WHERE TABLE_SCHEMA = 'recover_your_data' AND TABLE_NAME = 'recover_your_data' AND REFERENCED_TABLE_NAME IS NOT NULL"
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,Query, SET AUTOCOMMIT=0,2026-08-18T05:23:10.620182Z   157 Query SET AUTOCOMMIT=0
"Aug 17, 2026 11:23:10 PM",corp-na01-bp123na,Query, CREATE TABLE IF NOT EXISTS RECOVER_YOUR_DATA (text VARCHAR(255)),2026-08-18T05:23:10.164366Z   154 Query CREATE TABLE IF NOT EXISTS RECOVER_YOUR_DATA (text VARCHAR(255))
"Aug 17, 2026 11:23:09 PM",corp-na01-bp123na,Query, SELECT /*!40001 SQL_NO_CACHE */ `text` FROM `recover_your_data` WHERE 1 LIMIT 10,2026-08-18T05:23:08.989578Z   155 Query SELECT /*!40001 SQL_NO_CACHE */ `text` FROM `recover_your_data` WHERE 1 LIMIT 10
"Aug 17, 2026 11:23:09 PM",corp-na01-bp123na,Query, SHOW TABLES,2026-08-18T05:23:09.889269Z   154 Query SHOW TABLES
"Aug 17, 2026 11:23:09 PM",corp-na01-bp123na,Query, SELECT * FROM recover_your_data LIMIT 10,2026-08-18T05:23:09.689519Z   156 Query SELECT * FROM recover_your_data LIMIT 10
"Aug 17, 2026 11:23:09 PM",corp-na01-bp123na,Query, USE `recover_your_data`,2026-08-18T05:23:09.800178Z   154 Query USE `recover_your_data`
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query," SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'","2026-08-18T05:23:08.711250Z   155 Query SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'"
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query," SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'","2026-08-18T05:23:08.619434Z   155 Query SELECT engine, table_type FROM INFORMATION_SCHEMA.TABLES WHERE table_schema = DATABASE() AND table_name = 'recover_your_data'"
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query, SHOW VARIABLES LIKE 'lower_case_table_names',2026-08-18T05:23:08.398837Z   155 Query SHOW VARIABLES LIKE 'lower_case_table_names'
"Aug 17, 2026 11:23:08 PM",corp-na01-bp123na,Query, set optimizer_switch=default,2026-08-18T05:23:08.215508Z   155 Query set optimizer_switch=default
